open,close,low,high,vol,time
9166.5,9164.0,9161.5,9166.5,0.0,2020-07-01 00:55:00
9164.0,9163.0,9163.0,9166.0,0.0,2020-07-01 00:56:00
9163.0,9163.5,9160.0,9164.5,6507.083,2020-07-01 00:57:00
9163.5,9172.0,9163.5,9172.0,16421.6346,2020-07-01 00:58:00
9172.0,9176.0,9171.0,9177.5,7061.69305,2020-07-01 00:59:00
9176.0,9175.0,9175.0,9176.0,0.0,2020-07-01 01:00:00
9175.0,9175.0,9171.5,9176.5,31829.2625,2020-07-01 01:01:00
9175.0,9174.5,9174.5,9175.5,0.0,2020-07-01 01:02:00
9174.5,9171.5,9171.5,9174.5,0.0,2020-07-01 01:03:00
9171.5,9171.0,9171.0,9173.5,0.0,2020-07-01 01:04:00
9171.0,9171.5,9171.0,9172.5,0.0,2020-07-01 01:05:00
9171.5,9172.5,9171.0,9173.0,0.0,2020-07-01 01:06:00
9172.5,9173.0,9172.5,9173.0,0.0,2020-07-01 01:07:00
9173.0,9172.0,9172.0,9174.0,0.0,2020-07-01 01:08:00
9172.0,9170.0,9169.5,9172.5,0.0,2020-07-01 01:09:00
9170.0,9173.5,9170.0,9175.0,174.23,2020-07-01 01:10:00
9173.5,9170.0,9170.0,9173.5,0.0,2020-07-01 01:11:00
9170.0,9171.0,9170.0,9171.5,0.0,2020-07-01 01:12:00
9171.0,9172.5,9171.0,9174.0,0.0,2020-07-01 01:13:00
9172.5,9172.5,9172.5,9172.5,0.0,2020-07-01 01:14:00
9172.5,9172.5,9172.5,9172.5,0.0,2020-07-01 01:15:00
9172.5,9175.0,9172.5,9175.0,0.0,2020-07-01 01:16:00
9175.0,9175.0,9175.0,9175.5,204.61055,2020-07-01 01:17:00
9175.0,9175.0,9173.5,9175.0,0.0,2020-07-01 01:18:00
9175.0,9164.5,9162.0,9175.0,0.0,2020-07-01 01:19:00
9164.5,9150.0,9145.0,9164.5,57785.9593,2020-07-01 01:20:00
9150.0,9150.0,9146.0,9152.5,44176.733,2020-07-01 01:21:00
9150.0,9151.5,9149.5,9151.5,4654.69715,2020-07-01 01:22:00
9151.5,9156.0,9151.5,9157.5,31326.9384,2020-07-01 01:23:00
9156.0,9151.5,9151.5,9156.0,2469.0757,2020-07-01 01:24:00
9151.5,9147.0,9145.0,9151.5,0.0,2020-07-01 01:25:00
9147.0,9142.0,9142.0,9147.5,21318.5622,2020-07-01 01:26:00
9142.0,9141.5,9140.0,9146.0,1829.2,2020-07-01 01:27:00
9141.5,9141.5,9140.5,9144.5,5028.375,2020-07-01 01:28:00
9141.5,9145.5,9141.0,9146.0,0.0,2020-07-01 01:29:00
9145.5,9143.0,9139.5,9145.5,6541.179,2020-07-01 01:30:00
9143.0,9144.0,9143.0,9147.5,3876.09945,2020-07-01 01:31:00
9144.0,9145.0,9144.0,9146.0,0.0,2020-07-01 01:32:00
9145.0,9147.0,9145.0,9147.0,0.0,2020-07-01 01:33:00
9147.0,9147.5,9147.0,9150.5,0.0,2020-07-01 01:34:00
9147.5,9149.5,9147.5,9151.0,0.0,2020-07-01 01:35:00
9149.5,9145.5,9143.0,9149.5,0.0,2020-07-01 01:36:00
9145.5,9144.0,9142.5,9145.5,496.5192,2020-07-01 01:37:00
9144.0,9144.0,9144.0,9144.0,0.0,2020-07-01 01:38:00
9144.0,9141.5,9139.5,9144.0,2864.92875,2020-07-01 01:39:00
9141.5,9148.5,9141.5,9148.5,2957.59875,2020-07-01 01:40:00
9148.5,9148.5,9148.5,9149.0,12052.3176,2020-07-01 01:41:00
9148.5,9144.0,9144.0,9148.5,0.0,2020-07-01 01:42:00
9144.0,9134.0,9131.0,9146.5,11630.9271,2020-07-01 01:43:00
9135.0,9131.5,9124.5,9136.5,6801.4436,2020-07-01 01:44:00
9131.5,9133.5,9124.5,9135.5,19142.4569,2020-07-01 01:45:00
9133.5,9140.0,9132.0,9143.5,1872.75495,2020-07-01 01:46:00
9140.0,9141.5,9140.0,9141.5,0.0,2020-07-01 01:47:00
9141.5,9143.0,9140.5,9143.5,0.0,2020-07-01 01:48:00
9143.0,9144.5,9143.0,9144.5,0.0,2020-07-01 01:49:00
9144.5,9138.0,9138.0,9145.0,10.0595,2020-07-01 01:50:00
9138.0,9141.0,9137.5,9145.5,10637.9798,2020-07-01 01:51:00
9141.0,9143.0,9141.0,9146.0,2568.921,2020-07-01 01:52:00
9143.0,9141.0,9141.0,9143.0,0.0,2020-07-01 01:53:00
9141.0,9142.5,9141.0,9142.5,2639.0067,2020-07-01 01:54:00
9142.5,9142.0,9141.5,9142.5,0.0,2020-07-01 01:55:00
9142.0,9143.0,9141.5,9143.0,2203.3425,2020-07-01 01:56:00
9143.0,9145.0,9143.0,9148.5,24680.09105,2020-07-01 01:57:00
9145.0,9145.0,9145.0,9145.0,0.0,2020-07-01 01:58:00
9145.0,9147.0,9145.0,9147.0,1881.22935,2020-07-01 01:59:00
9147.0,9142.5,9142.5,9147.0,0.0,2020-07-01 02:00:00
9142.5,9141.0,9141.0,9144.5,14751.6442,2020-07-01 02:01:00
9141.0,9142.0,9141.0,9143.0,0.0,2020-07-01 02:02:00
9142.0,9142.0,9142.0,9142.0,0.0,2020-07-01 02:03:00
9142.0,9141.0,9139.5,9142.0,0.0,2020-07-01 02:04:00
9141.0,9139.0,9139.0,9141.0,0.0,2020-07-01 02:05:00
9139.0,9140.0,9139.0,9140.0,0.0,2020-07-01 02:06:00
9140.0,9143.0,9140.0,9143.0,0.0,2020-07-01 02:07:00
9143.0,9143.0,9142.5,9143.0,0.0,2020-07-01 02:08:00
9143.0,9144.0,9143.0,9144.5,173.736,2020-07-01 02:09:00
9144.0,9144.0,9144.0,9144.0,0.0,2020-07-01 02:10:00
